Start Date,WCASES
20/05/2013,17
27/05/2013,13
03/06/2013,11
10/06/2013,6
17/06/2013,17
24/06/2013,38
01/07/2013,13
08/07/2013,16
15/07/2013,25
22/07/2013,7
29/07/2013,27
05/08/2013,25
12/08/2013,20
19/08/2013,11
26/08/2013,8
02/09/2013,17
09/09/2013,25
16/09/2013,39
23/09/2013,25
30/09/2013,49
07/10/2013,66
14/10/2013,21
21/10/2013,32
28/10/2013,12
04/11/2013,32
11/11/2013,27
18/11/2013,17
25/11/2013,8
02/12/2013,13
09/12/2013,8
16/12/2013,1
30/12/2013,1
06/01/2014,5
13/01/2014,10
20/01/2014,8
27/01/2014,16
03/02/2014,3
10/02/2014,5
17/02/2014,4
24/02/2014,5
03/03/2014,2
10/03/2014,3
17/03/2014,12
24/03/2014,4
31/03/2014,13
07/04/2014,9
14/04/2014,4
21/04/2014,8
28/04/2014,15
05/05/2014,28
12/05/2014,21
19/05/2014,16
26/05/2014,12
02/06/2014,19
09/06/2014,10
16/06/2014,14
23/06/2014,10
30/06/2014,22
07/07/2014,14
14/07/2014,20
21/07/2014,17
28/07/2014,2
04/08/2014,21
11/08/2014,42
18/08/2014,28
25/08/2014,17
01/09/2014,11
08/09/2014,16
15/09/2014,17
22/09/2014,11
29/09/2014,5
06/10/2014,1
13/10/2014,4
20/10/2014,0
27/10/2014,0
03/11/2014,6
10/11/2014,2
17/11/2014,6
24/11/2014,2
01/12/2014,1
08/12/2014,0
15/12/2014,0
05/01/2015,7
12/01/2015,10
19/01/2015,9
26/01/2015,8
02/02/2015,13
09/02/2015,5
16/02/2015,6
23/02/2015,2
02/03/2015,0
09/03/2015,5
16/03/2015,5
23/03/2015,3
30/03/2015,1
06/04/2015,1
13/04/2015,1
20/04/2015,0
27/04/2015,1
04/05/2015,1
11/05/2015,0
18/05/2015,2
25/05/2015,5
01/06/2015,0
08/06/2015,1
15/06/2015,4
22/06/2015,2
29/06/2015,1
06/07/2015,12
13/07/2015,13
20/07/2015,3
27/07/2015,11
03/08/2015,6
10/08/2015,3
17/08/2015,6
24/08/2015,4
31/08/2015,1
07/09/2015,2
14/09/2015,2
21/09/2015,2
28/09/2015,0
05/10/2015,1
12/10/2015,1
19/10/2015,0
26/10/2015,0
02/11/2015,1
09/11/2015,0
16/11/2015,1
23/11/2015,0
30/11/2015,0
07/12/2015,1
14/12/2015,0
04/01/2016,0
11/01/2016,5
18/01/2016,9
25/01/2016,11
01/02/2016,7
08/02/2016,2
15/02/2016,2
22/02/2016,15
29/02/2016,10
07/03/2016,6
14/03/2016,11
21/03/2016,11
28/03/2016,4
04/04/2016,5
11/04/2016,1
18/04/2016,3
25/04/2016,2
02/05/2016,4
16/05/2016,0
23/05/2016,0
30/05/2016,1
06/06/2016,1
13/06/2016,1
20/06/2016,1
27/06/2016,2
04/07/2016,3
11/07/2016,8
18/07/2016,19
25/07/2016,11
01/08/2016,4
08/08/2016,11
15/08/2016,18
22/08/2016,13
29/08/2016,7
05/09/2016,13
12/09/2016,2
19/09/2016,15
26/09/2016,7
03/10/2016,3
10/10/2016,2
17/10/2016,1
24/10/2016,0
31/10/2016,0
07/11/2016,0
14/11/2016,2
21/11/2016,0
28/11/2016,1
05/12/2016,1
12/12/2016,4
19/12/2016,0
26/12/2016,0
02/01/2017,0
09/01/2017,2
16/01/2017,0
23/01/2017,2
30/01/2017,2
06/02/2017,0
13/02/2017,0
20/02/2017,1
27/02/2017,1
06/03/2017,0
13/03/2017,2
20/03/2017,1
27/03/2017,4
03/04/2017,3
10/04/2017,2
17/04/2017,0
24/04/2017,0
01/05/2017,0
08/05/2017,0
15/05/2017,0
22/05/2017,1
29/05/2017,1
05/06/2017,5
12/06/2017,6
19/06/2017,11
26/06/2017,7
03/07/2017,5
10/07/2017,13
17/07/2017,21
24/07/2017,14
31/07/2017,16
07/08/2017,14
14/08/2017,17
21/08/2017,7
28/08/2017,6
04/09/2017,9
11/09/2017,18
18/09/2017,23
25/09/2017,6
02/10/2017,12
09/10/2017,8
16/10/2017,1
23/10/2017,8
30/10/2017,1
06/11/2017,5
13/11/2017,4
20/11/2017,4
27/11/2017,0
04/12/2017,1
11/12/2017,4
01/01/2018,0
08/01/2018,3
15/01/2018,1
22/01/2018,0
29/01/2018,5
05/02/2018,1
12/02/2018,1
19/02/2018,5
26/02/2018,0
05/03/2018,1
12/03/2018,1
19/03/2018,0
26/03/2018,0
02/04/2018,0
09/04/2018,0
16/04/2018,0
23/04/2018,0
30/04/2018,0
14/05/2018,0
21/05/2018,0
28/05/2018,1
04/06/2018,1
11/06/2018,3
18/06/2018,2
25/06/2018,4
02/07/2018,8
09/07/2018,7
16/07/2018,6
23/07/2018,26
30/07/2018,20
06/08/2018,27
13/08/2018,9
20/08/2018,9
27/08/2018,2
03/09/2018,9
10/09/2018,2
17/09/2018,4
24/09/2018,2
01/10/2018,2
08/10/2018,3
15/10/2018,4
22/10/2018,0
29/10/2018,1
05/11/2018,2
12/11/2018,3
19/11/2018,11
26/11/2018,10
03/12/2018,8
10/12/2018,12
31/12/2018,11
07/01/2019,15
14/01/2019,12
21/01/2019,17
28/01/2019,18
04/02/2019,1
11/02/2019,18
18/02/2019,12
25/02/2019,6
04/03/2019,5
11/03/2019,1
18/03/2019,2
25/03/2019,2
01/04/2019,0
08/04/2019,1
15/04/2019,0
22/04/2019,1
29/04/2019,0
06/05/2019,3
13/05/2019,0
20/05/2019,0
27/05/2019,2
03/06/2019,0
10/06/2019,1
17/06/2019,0
24/06/2019,2
01/07/2019,4
08/07/2019,5
15/07/2019,5
22/07/2019,2
29/07/2019,1
05/08/2019,3
12/08/2019,3
19/08/2019,2
26/08/2019,1
02/09/2019,21
09/09/2019,10
16/09/2019,10
23/09/2019,19
30/09/2019,21
07/10/2019,29
14/10/2019,23
21/10/2019,4
28/10/2019,13
04/11/2019,10
11/11/2019,6
18/11/2019,6
25/11/2019,16
02/12/2019,0
09/12/2019,0
16/12/2019,2
30/12/2019,0
06/01/2020,0
13/01/2020,3
20/01/2020,5
